label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
DNA,Reference sequence,C. auris B8441 reference sequence,General,Reference sequence,Genome Assembly,Sequence,C. auris,B8441,Lockhart,27988485
Transcribed Features,Transcribed Features,All CGD annotated features,General,Gene Annotation,Annotation,Gene Annotation,C. auris,B8441,CGD,27738138
lncRNA,lncRNA,Long non-coding RNAs,General,Gene Annotation,Annotation,lncRNA,C. auris,B8441,Hovhannisyan ,34916523
Sacc_phyloP_scores,4: Order Saccharomycetales conservation scores,"C. auris B8441 phyloP conservation scores from genomic alignment of 12 Saccharomycetales species: C. auris, C. albicans, C. dubliniensis, C. parapsilosis, L. elongisporus, C. glabrata, C. bracarensis, N. bacillisporus, S. cerevisiae, S. castellii, A. gossypii, and Y. lipolytica cerevisiae, S. castellii, A. gossypii, and Y. lipolytica",Wild-type,Conservation,Genome Alignment,Conservation plot,C. auris,B8441,CGD,24185697
CTG_phyloP_scores,3: Family Debaryomycetaceae conservation scores,"C. auris B8441 phyloP conservation scores from genomic alignment of CTG clade: C. auris, C. lusitaniae, C. guilliermondii, C. albicans, C. dubliniensis, C. tropicalis, C. parapsilosis, C. orthopsilosis, and L. elongisporus",Wild-type,Conservation,Genome Alignment,Conservation plot,C. auris,B8441,CGD,24185697
AurLus_phyloP_scores,2: Clavispora/Meyerozyma group conservation scores,"C. auris B8441 phyloP conservation scores from genomic alignment of Clavispora/Meyerozyma group: C. auris, C. haemulonii, C. duobushaemulonii, C. lusitaniae and C. guilliermondii",Wild-type,Conservation,Genome Alignment,Conservation plot,C. auris,B8441,CGD,24185697
auris_phyloP_scores,1: C. auris group conservation scores,"C. auris B8441 phyloP conservation scores from genomic alignment of C. auris, C. haemulonii and C. duobushaemulonii",Wild-type,Conservation,Genome Alignment,Conservation plot,C. auris,B8441,CGD,24185697
Simm_PP_R1a_control_alignments,Simm et al control (tech rep a; biol rep 1) alignments,"Aligned strand-specific, single-end reads, control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1a_control_coverage,Simm et al control (tech rep a; biol rep 1) coverage,"Read coverage, control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1a_control_density,Simm et al control (tech rep a; biol rep 1) density,"Read density, control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1b_control_alignments,Simm et al control (tech rep b; biol rep 1) alignments,"Aligned strand-specific, single-end reads, control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1b_control_coverage,Simm et al control (tech rep b; biol rep 1) coverage,"Read coverage, control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1b_control_density,Simm et al control (tech rep b; biol rep 1) density,"Read density, control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1a_expt_alignments,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 1) alignments,"Aligned strand-specific, single-end reads, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1a_expt_coverage,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 1) coverage,"Read coverage, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1a_expt_density,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 1) density,"Read density, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1b_expt_alignments,Simm et al DGE in presence of pyrvinium pamoate (tech rep b; biol rep 1) alignments,"Aligned strand-specific, single-end reads, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1b_expt_coverage,Simm et al DGE in presence of pyrvinium pamoate (tech rep b; biol rep 1) coverage,"Read coverage, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R1b_expt_density,Simm et al DGE in presence of pyrvinium pamoate (tech rep b; biol rep 1) density,"Read density, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2a_control_alignments,Simm et al control (tech rep a; biol rep 2) alignments,"Aligned strand-specific, single-end reads, control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2a_control_coverage,Simm et al control (tech rep a; biol rep 2) coverage,"Read coverage, control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2a_control_density,Simm et al control (tech rep a; biol rep 2) density,"Read density, control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2b_control_alignments,Simm et al control (tech rep b; biol rep 2) alignments,"Aligned strand-specific, single-end reads, control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2b_control_coverage,Simm et al control (tech rep b; biol rep 2) coverage,"Read coverage, control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2b_control_density,Simm et al control (tech rep b; biol rep 2) density,"Read density, control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2a_expt_alignments,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 2) alignments,"Aligned strand-specific, single-end reads, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2a_expt_coverage,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 2) coverage,"Read coverage, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2a_expt_density,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 2) density,"Read density, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2b_expt_alignments,Simm et al DGE in presence of pyrvinium pamoate (tech rep b; biol rep 2) alignments,"Aligned strand-specific, single-end reads, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2b_expt_coverage,Simm et al DGE in presence of pyrvinium pamoate (tech rep b; biol rep 2) coverage,"Read coverage, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R2b_expt_density,Simm et al DGE in presence of pyrvinium pamoate (tech rep b; biol rep 2) density,"Read density, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3a_control_alignments,Simm et al control (tech rep a; biol rep 3) alignments,"Aligned strand-specific, single-end reads, control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3a_control_coverage,Simm et al control (tech rep a; biol rep 3) coverage,"Read coverage, control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3a_control_density,Simm et al control (tech rep a; biol rep 3) density,"Read density, control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3b_control_alignments,Simm et al control (tech rep b; biol rep 3) alignments,"Aligned strand-specific, single-end reads, control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3b_control_coverage,Simm et al control (tech rep b; biol rep 3) coverage,"Read coverage, control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3b_control_density,Simm et al control (tech rep b; biol rep 3) density,"Read density, control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3a_expt_alignments,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 3) alignments,"Aligned strand-specific, single-end reads, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3a_expt_coverage,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 3) coverage,"Read coverage, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3a_expt_density,Simm et al DGE in presence of pyrvinium pamoate (tech rep a; biol rep 3) density,"Read density, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3b_expt_alignments,Simm et al DGE in presence of pyrvinium pamoate (tech rep b; biol rep 3) alignments,"Aligned strand-specific, single-end reads, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3b_expt_coverage,Simm et al DGE in presence of pyrvinium pamoate (tech rep b; biol rep 3) coverage,"Read coverage, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Simm et al.,35412372
Simm_PP_R3b_expt_density,Simm et al DGE in presence of pyrvinium pamoate (tech rep b; biol rep 3) density,"Read density, pyrvinium pamoate",Pyrvinium pamoate,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Simm et al.,35412372
Jakab_R1_control_alignments,Jakab et al control (biol rep 1) alignments,"Aligned strand-specific, single-end reads, control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Jakab et al.,34643421
Jakab_R1_control_coverage,Jakab et al control (biol rep 1) coverage,"Read coverage, control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Jakab et al.,34643421
Jakab_R1_control_density,Jakab et al control (biol rep 1) density,"Read density, control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Jakab et al.,34643421
Jakab_R1_expt_alignments,Jakab et al DGE in presence of farnesol (biol rep 1) alignments,"Aligned strand-specific, single-end reads, farnesol",farnesol,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Jakab et al.,34643421
Jakab_R1_expt_coverage,Jakab et al DGE in presence of farnesol (biol rep 1) coverage,"Read coverage, farnesol",farnesol,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Jakab et al.,34643421
Jakab_R1_expt_density,Jakab et al DGE in presence of farnesol (biol rep 1) density,"Read density, farnesol",farnesol,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Jakab et al.,34643421
Jakab_R2_control_alignments,Jakab et al control (biol rep 2) alignments,"Aligned strand-specific, single-end reads, control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Jakab et al.,34643421
Jakab_R2_control_coverage,Jakab et al control (biol rep 2) coverage,"Read coverage, control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Jakab et al.,34643421
Jakab_R2_control_density,Jakab et al control (biol rep 2) density,"Read density, control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Jakab et al.,34643421
Jakab_R2_expt_alignments,Jakab et al DGE in presence of farnesol (biol rep 2) alignments,"Aligned strand-specific, single-end reads, farnesol",farnesol,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Jakab et al.,34643421
Jakab_R2_expt_coverage,Jakab et al DGE in presence of farnesol (biol rep 2) coverage,"Read coverage, farnesol",farnesol,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Jakab et al.,34643421
Jakab_R2_expt_density,Jakab et al DGE in presence of farnesol (biol rep 2) density,"Read density, farnesol",farnesol,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Jakab et al.,34643421
Jakab_R3_control_alignments,Jakab et al control (biol rep 3) alignments,"Aligned strand-specific, single-end reads, control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Jakab et al.,34643421
Jakab_R3_control_coverage,Jakab et al control (biol rep 3) coverage,"Read coverage, control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Jakab et al.,34643421
Jakab_R3_control_density,Jakab et al control (biol rep 3) density,"Read density, control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Jakab et al.,34643421
Jakab_R3_expt_alignments,Jakab et al DGE in presence of farnesol (biol rep 3) alignments,"Aligned strand-specific, single-end reads, farnesol",farnesol,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Jakab et al.,34643421
Jakab_R3_expt_coverage,Jakab et al DGE in presence of farnesol (biol rep 3) coverage,"Read coverage, farnesol",farnesol,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Jakab et al.,34643421
Jakab_R3_expt_density,Jakab et al DGE in presence of farnesol (biol rep 3) density,"Read density, farnesol",farnesol,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Jakab et al.,34643421
Biermann_AR0390_control_R1_alignments,Biermann et al control (strain ARO390; biol rep 1) alignments,"Aligned strand-specific, paired-end reads, ARO390 control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_control_R1_coverage,Biermann et al control (strain ARO390; biol rep 1) coverage,"Read coverage, ARO390 control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_control_R1_density,Biermann et al control (strain ARO390; biol rep 1) density,"Read density, ARO390 control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_control_R2_alignments,Biermann et al control (strain ARO390; biol rep 2) alignments,"Aligned strand-specific, paired-end reads, ARO390 control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_control_R2_coverage,Biermann et al control (strain ARO390; biol rep 2) coverage,"Read coverage, ARO390 control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_control_R2_density,Biermann et al control (strain ARO390; biol rep 2) density,"Read density, ARO390 control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_control_R3_alignments,Biermann et al control (strain ARO390; biol rep 3) alignments,"Aligned strand-specific, paired-end reads, ARO390 control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_control_R3_coverage,Biermann et al control (strain ARO390; biol rep 3) coverage,"Read coverage, ARO390 control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_control_R3_density,Biermann et al control (strain ARO390; biol rep 3) density,"Read density, ARO390 control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_MG_R1_alignments,Biermann et al DGE in presence of methylglyoxal  (strain ARO390; biol rep 1) alignments,"Aligned strand-specific, paired-end reads, ARO390 methylglyoxal",methylglyoxal,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_MG_R1_coverage,Biermann et al DGE in presence of methylglyoxal (strain ARO390; biol rep 1) coverage,"Read coverage, ARO390 methylglyoxal",methylglyoxal,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_MG_R1_density,Biermann et al DGE in presence of methylglyoxal (strain ARO390; biol rep 1) density,"Read density, ARO390 methylglyoxal",methylglyoxal,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_MG_R2_alignments,Biermann et al DGE in presence of methylglyoxal (strain ARO390; biol rep 2) alignments,"Aligned strand-specific, paired-end reads, ARO390 methylglyoxal",methylglyoxal,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_MG_R2_coverage,Biermann et al DGE in presence of methylglyoxal (strain ARO390; biol rep 2) coverage,"Read coverage, ARO390 methylglyoxal",methylglyoxal,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_MG_R2_density,Biermann et al DGE in presence of methylglyoxal (strain ARO390; biol rep 2) density,"Read density, ARO390 methylglyoxal",methylglyoxal,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_MG_R3_alignments,Biermann et al DGE in presence of methylglyoxal (strain ARO390; biol rep 3) alignments,"Aligned strand-specific, paired-end reads, ARO390 methylglyoxal",methylglyoxal,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_MG_R3_coverage,Biermann et al DGE in presence of methylglyoxal (strain ARO390; biol rep 3) coverage,"Read coverage, ARO390 methylglyoxal",methylglyoxal,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_AR0390_MG_R3_density,Biermann et al DGE in presence of methylglyoxal (strain ARO390; biol rep 3) density,"Read density, ARO390 methylglyoxal",methylglyoxal,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_control_R1_alignments,Biermann et al control (strain B11221; biol rep 1) alignments,"Aligned strand-specific, paired-end reads, B11221 control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_control_R1_coverage,Biermann et al control (strain B11221; biol rep 1) coverage,"Read coverage, B11221 control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_control_R1_density,Biermann et al control (strain B11221; biol rep 1) density,"Read density, B11221 control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_control_R2_alignments,Biermann et al control (strain B11221; biol rep 2) alignments,"Aligned strand-specific, paired-end reads, B11221 control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_control_R2_coverage,Biermann et al control (strain B11221; biol rep 2) coverage,"Read coverage, B11221 control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_control_R2_density,Biermann et al control (strain B11221; biol rep 2) density,"Read density, B11221 control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_control_R3_alignments,Biermann et al control (strain B11221; biol rep 3) alignments,"Aligned strand-specific, paired-end reads, B11221 control",control,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_control_R3_coverage,Biermann et al control (strain B11221; biol rep 3) coverage,"Read coverage, B11221 control",control,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_control_R3_density,Biermann et al control (strain B11221; biol rep 3) density,"Read density, B11221 control",control,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_MG_R1_alignments,Biermann et al DGE in presence of methylglyoxal (strain B11221; biol rep 1) alignments,"Aligned strand-specific, paired-end reads, B11221 methylglyoxal ",methylglyoxal,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_MG_R1_coverage,Biermann et al DGE in presence of methylglyoxal (strain B11221; biol rep 1) coverage,"Read coverage, B11221 methylglyoxal ",methylglyoxal,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_MG_R1_density,Biermann et al DGE in presence of methylglyoxal (strain B11221; biol rep 1) density,"Read density, B11221 methylglyoxal ",methylglyoxal,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_MG_R2_alignments,Biermann et al DGE in presence of methylglyoxal (strain B11221; biol rep 2) alignments,"Aligned strand-specific, paired-end reads, B11221 methylglyoxal ",methylglyoxal,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_MG_R2_coverage,Biermann et al DGE in presence of methylglyoxal (strain B11221; biol rep 2) coverage,"Read coverage, B11221 methylglyoxal ",methylglyoxal,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_MG_R2_density,Biermann et al DGE in presence of methylglyoxal (strain B11221; biol rep 2) density,"Read density, B11221 methylglyoxal ",methylglyoxal,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_MG_R3_alignments,Biermann et al DGE in presence of methylglyoxal (strain B11221; biol rep 3) alignments,"Aligned strand-specific, paired-end reads, B11221 methylglyoxal ",methylglyoxal,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_MG_R3_coverage,Biermann et al DGE in presence of methylglyoxal (strain B11221; biol rep 3) coverage,"Read coverage, B11221 methylglyoxal ",methylglyoxal,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_MG_R3_density,Biermann et al DGE in presence of methylglyoxal (strain B11221; biol rep 3) density,"Read density, B11221 methylglyoxal ",methylglyoxal,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_BEN_R1_alignments,Biermann et al DGE in presence of benomyl (strain B11221; biol rep 1) alignments,"Aligned strand-specific, paired-end reads, B11221 benomyl",benomyl,Gene Expression,RNA-Seq,Aligned reads,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_BEN_R1_coverage,Biermann et al DGE in presence of benomyl (strain B11221; biol rep 1) coverage,"Read coverage, B11221 benomyl",benomyl,Gene Expression,RNA-Seq,Coverage plot,C. auris,B8441,Biermann et al.,"	35473297"
Biermann_B11221_WT_BEN_R1_density,Biermann et al DGE in presence of benomyl (strain B11221; biol rep 1) density,"Read density, B11221 benomyl",benomyl,Gene Expression,RNA-Seq,Density plot,C. auris,B8441,Biermann et al.,"	35473297"
